Song Title,Overall Streams,Daily Streams
Hoez n Oz,"1,407,698",336
Only Thing I Know,"1,407,594",201
Dope Smokes,"1,399,797",336
Salty,"1,381,351",661
Hard Way,"1,378,795","1,092"
Facts,"1,376,232",457
April Fools,"1,374,500","1,488"
Bestie,"1,363,681",607
I Kno,"1,361,875",779
* I Dont Like - Remix,"1,361,250",137
Knock It Off,"1,360,488",217
2 Much,"1,358,953",679
Hot Shit,"1,350,502",158
Whoa,"1,322,981",399
Couple of Coats,"1,311,195",373
Action Figures,"1,309,582",435
Whole Crowd,"1,307,122",621
Tony Hawk,"1,302,752",347
Killer,"1,301,648",734
* Turn Up,"1,297,472",294
Singing to the Cheese,"1,281,924",210
Sky Say (feat. Tadoe),"1,278,464",201
Designer,"1,270,530","1,497"
Fuck Me,"1,264,026",974
* The Ice Ape (feat. Chief Keef),"1,258,121",130
Russian Roulette,"1,256,731","1,345"
Charge My Car,"1,253,353",216
Han Han,"1,251,138",218
Buy It,"1,240,529",576
Fix That,"1,237,976",200
Psych Ward,"1,227,772",572
* Dont Loose No Load,"1,226,595",337
* TREASURE CHEST,"1,224,105",84
Send It Up,"1,222,866",169
* Paper,"1,221,024",255
Chicago Zoo,"1,203,272",407
Wayne,"1,199,136",613
Cappin,"1,196,010",117
Slow Dance (feat. Young Chop),"1,194,330",322
Almighty so Intro,"1,189,068",722
Fuck Niggas (Intro),"1,177,523","1,040"
Wit It,"1,174,790",307
My Head,"1,169,421",314
Close That Door,"1,157,113",564
Ain't Nothin',"1,146,986",183
Glatt,"1,143,263",208
Posse,"1,130,506",216
Oh My Goodness,"1,119,519",553
Dear,"1,111,436",492
Farm,"1,104,545",445
* Chicken Soup,"1,103,838",236
12 Bars,"1,094,970","113,165"
* Beat Cry,"1,085,778",139
Yours,"1,085,559",214
Green Light,"1,081,828",153
What Can I say,"1,081,651",221
Randomly (feat. Tadoe),"1,081,426",163
Hundreds,"1,075,718",447
Hand Made,"1,069,994",206
Racist,"1,066,619",212
Gotta Glo up One Day,"1,063,949",391
What Up,"1,062,133",154
Bank Closed,"1,060,156",323
LOVE DON'T LIVE HERE,"1,056,287","2,864"
New Trap,"1,052,020",85
Cuz,"1,049,760",342
Sets,"1,045,307",486
Falling on the Floor,"1,040,279",218
Hiding,"1,036,810",145
Squad,"1,024,317","2,215"
Letter,"1,008,260",248
Bring Them Things (feat. Bankroll Fresh & Gucci Mane),"1,007,573",230
Short (feat. Tadoe),"1,001,842",373
Jet Li (feat. Gucci Mane),"1,000,748",364
Running Late,"989,837",198
PS (Pants Sag),"989,439",174
Who Is That,"985,721",703
Smoked,"983,370",74
Smack DVD,"983,045",406
Vietnam,"982,135",203
On My Momma,"964,358",139
Foes,"961,879",303
Telling It All,"961,209",247
Call Me,"947,356",268
Million$,"929,254",154
Empty,"925,808",167
In The Closet,"921,322",186
Sex with Me,"917,742",243
Please,"916,527",135
Tree Tree,"916,288",142
High As Fuck,"911,421",549
* First Day Of School,"906,012",232
Don't Want None,"903,319",106
* Neva Froze (feat. Chief Keef),"902,170",213
PT's,"900,189",162
Foreign Cars,"896,083",469
Tragedies,"891,295",180
I'm da Man,"890,406",466
* So Much Money,"890,131",266
Get This Money,"887,585",232
Either Way,"880,984",522
WDFHDF,"876,562",156
Semi,"865,889",111
Get That Sack,"863,276",102
Pull Up,"854,169",209
Go,"853,221",202
Gated (feat. Soulja Boy),"845,260",209
South Side,"839,349",122
Guess What Boy,"829,827",97
Home,"821,760",329
Leanin',"816,214",395
Who Dat,"810,292",244
Irri,"807,834",127
Tec,"806,817",421
Hobby,"804,850",160
That's What,"796,107",122
Go Harder,"794,926",98
Bang,"793,573",586
Carolina,"776,980",133
Og Fiji,"775,123",95
Gettin' Wild,"774,382",176
Granny's,"769,988",350
Macaroni Time (Remix),"763,055",168
Trust None,"762,696",896
What I Wanna Do,"762,142",271
Ignorant,"752,412",174
Voodoo,"751,113",166
It's More,"749,307",92
How You Like Me Now,"747,473",174
* Sumn Sumn,"740,404",255
Emojis,"737,301",442
Cause I'm Gettin Money,"736,712",208
No It Don't,"733,585",245
Dismiss,"732,444",167
Save Me,"726,520","1,671"
Cashin',"724,994",344
Funny,"724,756",331
Spread Da Word,"724,496",829
Gloin,"715,587",88
BS,"714,236",390
Trying Not to Swear,"712,264",150
Win,"707,815",94
Hit the Lotto (feat. Kash),"705,521",117
Flattered,"701,447",160
She a Freak,"700,156",91
X,"699,603",121
* make me mad,"690,308",171
He Don't Know,"689,139",84
Check It Out,"687,746",247
Awesome,"687,361",301
Kush With Them Beans,"687,290",820
Finessin,"684,211","1,274"
In the Stu,"681,305",110
That Be Me,"680,479",244
* Right Now (feat. Andy Milonokis & Chief Keef),"676,461",71
Fat,"673,970",112
OB4L,"673,405",786
Fever,"667,109",210
Can't Wait,"663,330",111
The Moral,"661,461",352
Bang Bang (Intro),"647,171",492
Hot,"641,183",92
Black Proud,"637,089",138
Stand Down (feat. Tadoe),"634,059",93
Ain't Just Me,"633,319",311
Michelin,"632,172",110
Free Smoke,"631,447",136
Dipset,"624,615",202
Pit Stop,"620,402",275
Pull Up,"617,420",260
Make It Count,"608,230",254
GLO Gang Arena,"606,108",130
Don't Wanna Be U,"604,794",179
Flex,"601,337",125
Early Morning Gettin' It,"595,639",141
Rounds,"589,423",132
Adam and Eve,"589,225",190
Phone,"586,613",81
Keep It Lit,"580,267",152
Coolin,"575,886",92
Hit the Bank (Interlude),"573,609",109
I Want Some Money,"570,101",103
Doctor,"565,644",204
Jones Indiana,"564,578",189
Andale,"563,010",76
* One Mo,"561,803",65
Ganga,"561,662",96
Driver,"560,684",219
According to My Watch,"558,287",166
Outerspace Glo,"557,142",136
MCM,"547,676",156
Louie Bag,"547,669",95
That Night,"544,102",70
Bands,"543,318",89
Check,"534,938",89
Setz Up,"532,642",447
Have My Baby,"529,579","2,226"
Raw,"528,781",160
SHIFU,"524,985",217
OK Koolaid,"523,250",84
Opponent,"522,857",90
Kool-Aid,"521,738",132
Ight Doe,"519,013",263
What Was It,"515,125",113
Baseball Bat (feat. Tray Savage),"510,630",161
OFF WIT HIS HEAD,"504,676",147
Walnuts,"502,795",192
Don't Love Her,"502,749",329
Michelin,"502,037",235
* I Wish You Would,"497,073",95
No I.D. (feat. Doo Wop),"496,335",73
Already,"494,193",167
It's A Pound,"491,165",133
Michael Blackson Skit,"490,253",107
Anything Gets You Paid,"489,110",115
Born to Flex,"485,638",49
Aston Martin,"479,734",269
Take Me Down (feat. Chaboki),"479,245",60
In Your Face,"477,733",106
4ever,"476,756",384
Fast n Furious,"470,664",158
Slam Dunkin,"468,448",288
Madder,"461,384",104
Old Heads And Regretful Hoes,"459,811",274
* My Gear,"458,589",202
Lots Of Thots,"457,419",89
Lots of That,"457,136",87
Police,"456,542",136
Handles,"454,092",120
You Know How It Go,"453,725",103
Know She Does,"453,459",201
Oh Lawd (feat. Tadoe),"449,864",171
* FLOOR SEATS,"449,029",45
Pharrell,"448,146",98
A$AP Rocky,"445,480",107
Trojan (feat. Tadoe),"441,560",96
Skit,"440,166",251
Run Up,"438,806",131
Chances (feat. Young Scooter),"437,778",88
Everyday,"437,028",245
Intro (feat. 12 Million),"434,532",50
Runnin,"431,978",241
Mirror,"427,079",90
Crazy,"426,628",122
Foreigns,"424,006",170
Almighty Sosa,"423,292",236
Anywhere,"421,106",56
This Bitch,"417,415",228
24,"415,832",292
CUSSIN,"414,263",109
Time's Up,"412,784",228
Fishin,"412,007",141
Itz Crackin,"408,641",308
Dolo,"406,295",88
Three Zero Zero,"403,887",156
Smash,"403,225",347
Hard,"399,466",132
Rolls,"397,007",176
Control (feat. Tadoe),"396,096",51
Arts & Crafts,"396,027",115
In It,"392,519",111
Need It,"391,648",139
Rap About It,"385,471",70
Too Fast (feat. Tray Savage),"384,032",170
Only Thing I Know,"383,841",333
Emojis,"381,988",80
Yeah Now,"377,322",141
Sleepy,"375,835",96
Flu,"374,164",135
No Cashier,"373,430",89
Squidward Tenacles,"370,817",86
Tomorrow,"370,152",211
Twelve Bars,"369,035",104
Peep Hole,"368,906",86
Long (feat. Tadoe),"366,541",64
* Woo,"365,985",26
